time_s,thrust_N,chamber_pressure_bar,tank_pressure_bar
0.0000,0.000,3.022,50.859
0.0048,3.896,3.022,50.859
0.0148,11.433,4.544,50.811
0.0248,24.969,6.555,50.728
0.0348,47.030,9.035,50.570
0.0448,78.071,11.910,50.371
0.0548,118.803,15.164,50.102
0.0648,169.323,18.725,49.775
0.0748,229.083,22.859,49.432
0.0848,290.213,26.726,49.119
0.0948,352.352,29.595,48.828
0.1048,412.423,31.671,48.623
0.1148,458.960,33.019,48.503
0.1248,490.188,33.332,48.430
0.1348,511.022,33.166,48.391
0.1448,521.768,33.285,48.317
0.1548,521.702,33.329,48.207
0.1648,520.527,33.194,48.066
0.1748,519.171,33.034,47.920
0.1848,517.101,32.918,47.763
0.1948,515.147,32.754,47.650
0.2048,513.566,32.516,47.553
0.2148,511.187,32.355,47.454
0.2248,508.427,32.072,47.350
0.2348,506.123,31.676,47.245
0.2448,502.866,31.264,47.135
0.2548,498.986,30.930,47.028
0.2648,495.226,30.645,46.919
0.2748,491.831,30.441,46.809
0.2848,488.902,30.217,46.704
0.2948,486.386,30.053,46.596
0.3048,483.958,29.920,46.494
0.3148,481.955,29.847,46.392
0.3248,480.331,29.728,46.300
0.3348,478.631,29.655,46.212
0.3448,476.871,29.580,46.137
0.3548,475.365,29.455,46.056
0.3648,473.965,29.271,45.979
0.3748,472.144,29.129,45.903
0.3848,470.088,28.928,45.826
0.3948,468.390,28.737,45.744
0.4048,467.324,28.585,45.668
0.4148,466.378,28.442,45.599
0.4248,465.744,28.279,45.525
0.4348,465.220,28.202,45.450
0.4448,464.828,28.084,45.373
0.4548,464.395,27.986,45.294
0.4648,463.521,27.886,45.212
0.4748,462.410,27.712,45.136
0.4848,461.165,27.586,45.059
0.4948,459.202,27.485,44.984
0.5048,457.406,27.377,44.909
0.5148,455.800,27.246,44.834
0.5248,454.324,27.109,44.754
0.5348,452.721,26.974,44.676
0.5448,451.390,26.850,44.591
0.5548,450.033,26.718,44.505
0.5648,448.857,26.492,44.411
0.5748,447.488,26.413,44.323
0.5848,445.906,26.312,44.237
0.5948,444.623,26.286,44.159
0.6048,443.461,26.264,44.088
0.6148,442.680,26.282,44.022
0.6248,441.978,26.195,43.956
0.6348,441.176,26.029,43.882
0.6448,439.795,25.934,43.807
0.6548,437.745,25.850,43.721
0.6648,436.376,25.818,43.637
0.6748,435.741,25.815,43.546
