time_s,thrust_N,chamber_pressure_bar,tank_pressure_bar
0.0000,0.000,3.169,56.017
0.0048,3.689,3.169,56.017
0.0148,8.383,4.427,55.942
0.0248,16.396,6.065,55.793
0.0348,30.411,8.079,55.599
0.0448,53.668,10.748,55.337
0.0548,85.612,13.713,55.025
0.0648,133.940,17.106,54.688
0.0748,184.057,21.329,54.412
0.0848,243.798,26.957,54.176
0.0948,320.161,32.142,54.063
0.1048,409.729,34.028,54.028
0.1148,486.226,34.994,54.013
0.1248,518.160,36.071,53.947
0.1348,541.394,35.859,53.839
0.1448,567.950,34.940,53.626
0.1548,574.783,36.535,53.380
0.1648,571.775,38.115,53.134
0.1748,603.859,38.072,52.931
0.1848,627.042,37.274,52.767
0.1948,613.874,36.387,52.653
0.2048,598.063,35.584,52.541
0.2148,581.730,35.043,52.444
0.2248,568.187,34.617,52.347
0.2348,559.826,34.269,52.237
0.2448,556.518,33.844,52.121
0.2548,551.705,33.615,51.999
0.2648,546.630,33.168,51.875
0.2748,540.203,32.673,51.759
0.2848,532.318,32.143,51.646
0.2948,522.802,31.906,51.534
0.3048,514.202,31.494,51.428
0.3148,507.367,31.312,51.323
0.3248,503.838,31.183,51.221
0.3348,501.005,31.038,51.122
0.3448,498.950,30.707,51.028
0.3548,496.773,30.380,50.930
0.3648,492.898,30.086,50.836
0.3748,487.724,29.884,50.746
0.3848,483.125,29.672,50.654
0.3948,479.997,29.470,50.564
0.4048,476.994,29.320,50.479
0.4148,474.633,29.114,50.392
0.4248,472.961,28.973,50.299
0.4348,471.211,28.703,50.213
0.4448,468.819,28.415,50.122
0.4548,464.783,28.352,50.036
0.4648,459.039,28.330,49.947
0.4748,455.216,28.145,49.864
0.4848,453.847,28.013,49.781
0.4948,451.889,28.174,49.704
0.5048,450.623,28.061,49.625
0.5148,451.422,27.893,49.548
0.5248,450.346,27.815,49.470
0.5348,447.058,27.601,49.394
0.5448,444.169,27.170,49.317
0.5548,439.917,27.006,49.240
0.5648,435.320,26.984,49.165
0.5748,432.418,26.614,49.092
0.5848,430.668,26.421,49.016
0.5948,425.754,26.424,48.938
0.6048,422.399,26.534,48.865
0.6148,420.651,26.252,48.791
0.6248,419.739,26.341,48.721
0.6348,416.757,26.595,48.649
0.6448,416.087,26.653,48.583
0.6548,418.765,26.331,48.512
0.6648,420.822,26.104,48.445
0.6748,418.443,26.069,48.378
0.6848,414.154,25.896,48.314
0.6948,412.941,25.856,48.245
0.7048,411.679,25.824,48.180
0.7148,409.870,25.851,48.118
0.7248,409.927,25.885,48.051
0.7348,411.746,25.804,47.987
0.7448,413.109,25.560,47.923
0.7548,411.738,25.604,47.865
0.7648,408.103,25.576,47.805
0.7748,407.021,25.562,47.749
0.7848,407.810,25.405,47.694
0.7948,408.689,25.539,47.643
0.8048,407.563,25.426,47.591
0.8148,407.396,25.205,47.539
0.8248,405.815,24.819,47.492
0.8348,399.069,24.857,47.441
0.8448,391.333,24.927,47.394
0.8548,389.233,24.699,47.349
0.8648,391.786,24.996,47.305
0.8748,391.509,25.169,47.262
0.8848,396.230,25.063,47.220
0.8948,400.296,24.987,47.182
0.9048,398.993,24.844,47.139
0.9148,395.976,24.468,47.100
0.9248,391.906,24.195,47.054
0.9348,386.768,24.138,47.013
0.9448,382.219,23.861,46.970
0.9548,380.533,23.883,46.927
0.9648,377.449,23.991,46.885
0.9748,377.232,24.063,46.845
0.9848,378.309,24.044,46.801
0.9948,379.368,24.043,46.762
1.0048,379.941,24.031,46.728
1.0148,380.174,24.024,46.688
1.0248,380.325,24.065,46.653
1.0348,380.393,24.082,46.626
1.0448,380.458,24.071,46.594
1.0548,380.593,24.081,46.557
1.0648,380.657,24.055,46.520
1.0748,380.674,24.000,46.487
1.0848,380.553,24.000,46.449
1.0948,380.291,23.990,46.421
1.1048,380.141,24.008,46.391
1.1148,380.217,24.017,46.368
1.1248,380.241,23.997,46.339
1.1348,380.216,23.948,46.314
1.1448,380.111,23.918,46.281
1.1548,379.770,23.866,46.247
1.1648,379.355,23.811,46.218
1.1748,379.066,23.764,46.194
1.1848,378.682,23.768,46.167
1.1948,378.217,23.766,46.140
1.2048,377.959,23.700,46.119
1.2148,377.754,23.697,46.095
1.2248,377.420,23.691,46.071
1.2348,377.231,23.624,46.049
1.2448,377.155,23.542,46.031
1.2548,376.887,23.531,46.013
1.2648,376.414,23.493,45.990
1.2748,376.062,23.487,45.970
1.2848,375.831,23.473,45.946
1.2948,375.666,23.439,45.927
1.3048,375.470,23.408,45.904
1.3148,375.234,23.407,45.891
1.3248,374.985,23.379,45.873
1.3348,374.733,23.317,45.860
1.3448,374.438,23.358,45.841
1.3548,374.117,23.346,45.827
1.3648,373.954,23.255,45.809
1.3748,373.751,23.210,45.794
1.3848,373.298,23.228,45.776
1.3948,372.949,23.179,45.765
1.4048,372.758,23.184,45.751
1.4148,372.576,23.305,45.741
1.4248,372.493,23.430,45.728
1.4348,372.852,23.396,45.718
1.4448,373.411,23.396,45.712
1.4548,373.458,23.399,45.703
1.4648,373.323,23.341,45.692
1.4748,373.215,23.357,45.682
1.4848,372.993,23.686,45.675
1.4948,373.186,23.949,45.665
1.5048,375.856,24.283,45.658
1.5148,380.608,24.405,45.658
1.5248,385.086,24.299,45.654
1.5348,386.633,24.267,45.652
1.5448,386.396,24.297,45.652
1.5548,386.697,24.273,45.654
1.5648,386.424,24.429,45.648
1.5748,386.505,24.666,45.648
1.5848,389.477,24.714,45.646
1.5948,393.833,24.711,45.643
1.6048,395.692,24.618,45.644
1.6148,396.247,24.393,45.648
1.6248,394.492,24.498,45.658
1.6348,391.329,24.306,45.663
1.6448,390.478,24.219,45.669
1.6548,388.163,24.371,45.675
1.6648,385.255,24.495,45.679
1.6748,387.215,24.544,45.681
1.6848,389.605,24.555,45.686
1.6948,390.823,24.529,45.691
1.7048,391.210,24.583,45.692
1.7148,390.875,24.512,45.700
1.7248,390.665,24.174,45.706
1.7348,388.964,24.228,45.716
1.7448,384.457,24.494,45.724
1.7548,383.246,24.257,45.736
1.7648,386.583,24.344,45.744
1.7748,386.086,24.761,45.755
1.7848,387.340,24.792,45.760
1.7948,392.643,24.653,45.767
1.8048,395.662,24.757,45.777
1.8148,395.254,24.954,45.784
1.8248,396.811,24.663,45.788
1.8348,399.211,24.656,45.799
1.8448,397.305,24.665,45.812
1.8548,395.613,24.743,45.821
1.8648,395.933,24.527,45.835
1.8748,395.255,24.735,45.854
1.8848,393.397,24.887,45.868
1.8948,394.466,24.794,45.881
1.9048,396.903,24.733,45.894
1.9148,395.740,24.855,45.908
1.9248,395.173,24.860,45.921
1.9348,396.646,24.758,45.937
1.9448,397.671,24.961,45.953
1.9548,397.413,25.009,45.971
1.9648,400.497,25.049,45.985
1.9748,402.492,25.103,45.994
1.9848,402.845,25.054,46.006
1.9948,403.051,25.156,46.018
2.0048,402.841,25.012,46.026
2.0148,402.760,24.998,46.038
2.0248,401.601,24.907,46.057
2.0348,400.975,25.090,46.073
2.0448,401.179,24.884,46.091
2.0548,402.509,25.039,46.112
2.0648,401.533,25.102,46.131
2.0748,402.476,25.188,46.144
2.0848,404.310,25.213,46.162
2.0948,405.159,25.252,46.179
2.1048,406.271,25.281,46.192
2.1147,407.867,25.229,46.210
2.1248,408.422,25.343,46.232
2.1348,408.819,25.126,46.251
2.1448,409.164,25.196,46.270
2.1548,407.378,25.321,46.290
2.1648,406.699,25.329,46.312
2.1748,407.484,25.285,46.332
2.1848,407.808,25.358,46.351
2.1947,407.954,25.442,46.366
2.2048,409.525,25.276,46.382
2.2148,410.812,25.350,46.398
2.2248,410.975,25.219,46.411
2.2348,410.971,25.280,46.427
2.2448,410.520,25.392,46.444
2.2548,410.282,25.437,46.462
2.2648,411.824,25.496,46.474
2.2748,412.984,25.502,46.486
2.2848,413.293,25.647,46.496
2.2948,413.842,25.438,46.508
2.3048,414.631,25.429,46.520
2.3148,412.782,25.372,46.530
2.3248,411.020,25.561,46.541
2.3348,411.281,25.331,46.554
2.3448,411.983,25.460,46.567
2.3548,410.683,25.525,46.576
2.3647,411.027,25.603,46.583
2.3748,412.578,25.392,46.595
2.3848,412.875,25.496,46.603
2.3948,411.880,25.567,46.603
2.4048,412.513,25.595,46.608
2.4148,414.084,25.547,46.616
2.4248,414.519,25.609,46.617
2.4348,414.304,25.681,46.620
2.4447,414.956,25.575,46.627
2.4548,416.129,25.578,46.632
2.4648,415.778,25.653,46.635
2.4748,415.849,25.656,46.643
2.4848,416.845,25.502,46.640
2.4948,416.711,25.456,46.642
2.5048,414.954,25.288,46.638
2.5148,413.239,25.221,46.633
2.5248,411.130,25.245,46.626
2.5348,409.267,25.428,46.626
2.5448,409.388,25.549,46.621
2.5548,411.469,25.711,46.616
2.5648,413.515,25.690,46.614
2.5748,415.690,25.608,46.612
2.5848,416.332,25.622,46.605
2.5948,415.201,25.670,46.600
2.6048,415.020,25.543,46.599
2.6147,414.807,25.599,46.594
2.6248,413.646,25.619,46.590
2.6348,413.538,25.510,46.583
2.6448,413.930,25.409,46.575
2.6548,412.761,25.501,46.569
2.6648,411.977,25.438,46.558
2.6748,412.343,25.448,46.549
2.6848,412.172,25.478,46.539
2.6947,412.029,25.478,46.530
2.7048,412.410,25.488,46.517
2.7148,412.386,25.418,46.509
2.7248,412.359,25.416,46.496
2.7348,412.176,25.360,46.485
2.7448,411.885,25.310,46.472
2.7548,411.219,25.235,46.461
2.7648,410.214,25.265,46.448
2.7748,409.168,25.339,46.433
2.7848,408.896,25.330,46.420
2.7948,409.702,25.283,46.406
2.8048,410.104,25.318,46.398
2.8148,409.986,25.345,46.384
2.8248,410.328,25.292,46.371
2.8348,410.473,25.403,46.357
2.8448,410.048,25.442,46.345
2.8548,410.408,25.344,46.326
2.8647,410.763,25.332,46.313
2.8748,410.038,25.270,46.303
2.8848,409.546,25.112,46.288
2.8948,408.721,24.973,46.276
2.9048,406.823,24.915,46.264
2.9148,405.231,24.777,46.253
2.9248,404.199,24.643,46.235
2.9348,402.840,24.542,46.228
2.9447,401.385,24.547,46.213
2.9548,400.681,24.533,46.198
2.9648,400.412,24.510,46.182
2.9748,399.971,24.520,46.172
2.9848,399.516,24.577,46.153
2.9948,399.447,24.555,46.139
3.0048,399.581,24.479,46.127
3.0148,399.424,24.407,46.118
3.0248,399.027,24.372,46.100
3.0348,398.546,24.328,46.088
3.0448,398.048,24.290,46.075
3.0548,397.590,24.263,46.061
3.0648,397.181,24.232,46.042
