time_ms,status,altitude_m,speed_ms,accel_ms2
42924,4,141,114,25.1
42944,4,143,114,30.8
42964,4,144,115,24.2
42984,4,145,115,37.8
43004,4,147,116,33.4
43024,4,148,117,34.7
43044,4,150,117,24.4
43064,4,152,118,29.7
43084,4,154,119,33.6
43104,4,156,119,22.9
43124,4,158,119,15.9
43144,4,160,120,11.8
43164,4,162,120,11.7
43184,4,163,120,5.6
43204,4,165,120,13.3
43224,4,168,121,29.8
43244,4,169,121,20.8
43264,4,172,122,27.6
43284,4,174,122,28.1
43304,4,177,123,14.3
43324,4,180,123,15.3
43344,4,181,123,23.7
43364,4,184,124,40.4
43384,4,185,125,14.9
43404,4,187,125,13.4
43424,4,188,125,18.8
43444,4,189,126,42.3
43464,4,192,126,17.9
43484,4,193,127,16.2
43504,4,195,127,17.9
43524,4,200,128,32.2
43544,4,203,128,17.1
43564,4,212,129,31.5
43584,4,222,129,32.3
43604,4,227,130,25.1
43624,4,236,130,27.1
43644,4,240,131,17.9
43664,4,247,131,14.4
43684,4,254,132,37.5
43704,4,258,132,20.2
43724,4,263,133,28.2
43744,4,266,133,6.9
43764,4,271,133,8
43784,4,275,134,29.4
43804,4,278,134,11.3
43824,4,282,134,29
43844,4,284,135,19.6
43864,4,288,136,43.9
43884,4,292,136,17.9
43904,4,294,137,30.7
43924,4,297,137,13.8
43944,4,299,138,36.2
43964,4,302,138,13
43984,4,306,139,38.1
44004,4,308,139,16.6
44024,4,311,140,39.3
44044,4,315,140,17.4
44064,4,317,140,16.9
44084,4,321,141,20.5
44104,4,322,141,23.5
44124,4,326,142,19.6
44144,4,329,142,16.1
44164,4,331,143,24.1
44184,4,334,143,19.2
44204,4,336,143,14.1
44224,4,339,144,25.9
44244,4,345,144,34.6
44264,4,349,145,8.8
44284,4,355,145,27.3
44304,4,358,146,20.2
44324,4,364,146,19.5
44344,4,370,146,14.2
44364,4,373,146,11
44384,4,379,147,25.3
44404,4,384,147,20
44424,4,386,148,40.7
44444,4,391,148,15.3
44464,4,394,149,19.1
44484,4,399,149,-4.9
44504,4,403,149,28.1
44524,4,406,150,10.2
44544,4,410,150,12.3
44564,4,412,150,36.8
44584,4,416,151,13.7
44604,4,420,151,29.4
44624,4,422,152,19.6
44644,4,427,152,19.5
44664,4,429,152,14.9
44684,4,436,153,26.6
44704,4,447,153,10.6
44724,4,453,154,24.9
44744,4,463,154,11.8
44764,4,467,154,24.8
44784,4,475,155,13.7
44804,4,482,155,17.9
44824,4,486,155,2.5
44844,4,494,155,19.2
44864,4,501,156,11.1
44884,4,504,156,10.9
44904,4,511,157,36.2
44924,4,514,157,7.3
44944,4,519,157,28.6
44964,4,525,158,16.3
44984,4,527,158,26.1
45004,4,532,158,10.4
45024,4,534,159,17.5
45044,4,539,159,25.3
45064,4,544,160,16.3
45084,4,546,160,31.3
45104,4,550,160,8.7
45124,4,552,161,10.7
45144,4,557,161,14.9
45164,4,561,161,10
45184,4,563,161,8.3
45204,4,567,162,27.7
45224,4,571,162,21.8
45244,4,573,163,22.8
45264,4,577,163,12
45284,4,580,163,11.7
45304,4,584,164,19.6
45324,4,588,164,8.9
45344,4,590,164,22.4
45364,4,594,165,23.1
45384,4,596,165,24.5
45404,4,601,165,8.7
45424,4,605,166,10.3
45444,4,607,166,19
45464,4,611,166,21.9
45484,4,614,167,8.4
45504,4,618,167,2.5
45524,4,622,167,13.3
45544,4,624,167,10
45564,4,629,168,24.8
45584,4,631,168,26.5
45604,4,635,168,19.9
45624,4,639,169,24.4
45644,4,642,169,17
45664,4,646,170,13.1
45684,4,650,170,10.7
45704,4,652,170,10.6
45724,4,657,170,8.8
45744,4,659,171,27.4
45764,4,663,171,28.3
45784,4,668,172,19.1
45804,4,670,172,18.9
45824,4,675,173,28.1
45844,4,677,173,27.7
45864,4,682,173,8.9
45884,4,686,174,10.9
45904,4,688,174,6.7
45924,4,693,174,17.4
45944,4,695,174,13.3
45964,4,700,174,5.3
45984,4,705,175,16.5
46004,4,707,175,18.5
46024,4,711,175,18.2
46044,4,713,176,12.5
46064,4,718,176,25.1
46084,4,722,176,13
46104,4,724,177,13.9
46124,4,729,177,20.5
46144,4,734,177,15.2
46164,4,736,178,12.1
46184,4,741,178,25.7
46204,4,743,179,23.2
46224,4,748,179,18.9
46244,4,752,179,10
46264,4,755,180,22.9
46284,4,760,180,19.2
46304,4,762,180,21.7
46324,4,767,181,24.6
46344,4,771,181,13.3
46364,4,774,181,7.2
46384,4,778,182,19.8
46404,4,780,182,33
46424,4,785,183,7.4
46444,4,790,183,22.5
46464,4,792,183,18.6
46484,4,797,184,15.1
46504,4,801,184,13.5
46524,4,804,184,13.6
46544,4,809,185,14.5
46564,4,811,185,14.2
46584,4,816,185,12.3
46604,4,821,185,20.2
46624,4,823,186,17.1
46644,4,828,186,18.9
46664,4,830,187,20.6
46684,4,835,187,21.3
46704,4,840,187,9.7
46724,4,842,187,11.2
46744,4,847,188,14.9
46764,4,849,188,16.1
46784,4,854,188,8.4
46804,4,859,188,5.5
46824,4,861,189,16.2
46844,4,866,189,10
46864,4,868,189,7.4
46884,4,873,189,11.3
46904,4,878,189,0.5
46924,4,880,189,12.3
46944,4,885,190,8.2
46964,4,890,190,12.8
46984,4,892,190,4.8
47004,4,897,190,12.9
47024,4,899,190,9
47044,4,903,191,14.8
47064,4,908,191,11.9
47084,4,910,191,8.8
47104,4,915,191,11.1
47124,4,918,192,11.1
47144,4,922,192,4.8
47164,4,927,192,7
47184,4,929,192,10.5
47204,4,934,192,5.6
47224,4,936,192,6.7
47244,4,941,192,4.5
47264,4,946,193,6.9
47284,4,948,193,3.7
47304,4,953,193,8.2
47324,4,957,193,2.3
47344,4,960,193,3.9
47364,4,965,193,9.1
47384,4,967,193,4.6
47404,4,972,193,4.5
47424,4,976,193,6.2
47444,4,979,193,6.7
47464,4,983,194,3.4
47484,4,986,194,-0.6
47504,4,990,194,2.2
47524,4,995,194,0
47544,4,997,194,1.8
47564,4,1002,194,-1.1
47584,4,1004,194,5
47604,4,1009,194,6.2
47624,4,1013,194,0.7
47644,4,1016,194,-1.9
47664,4,1020,194,4.1
47684,4,1022,194,2.7
47704,4,1027,194,0.7
47724,4,1032,194,5.1
